Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
F1,1206L050/15YR,Fuse_1206_3216Metric,18.302000,17.808000,90.000000,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,15.000000,26.350000,180.000000,top
J2,USB_Out,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,15.000000,-1.700000,0.000000,top
L1,BLM18PG121SN1D,L_0603_1608Metric,12.968000,4.600000,90.000000,top
R1,"5,1k",R_0603_1608Metric,21.223000,21.237000,90.000000,top
R2,"5,1k",R_0603_1608Metric,8.840500,21.237000,90.000000,top
R3,0,R_0603_1608Metric,7.126000,21.237000,90.000000,top
U1,SRV05-4,SOT-23-6,15.000000,18.316000,180.000000,top
